First_Name,Last_Name,Government_ID,DOB,1st_Contact_Relative_Contact_ID,Home_City,ArmedServices_ID,Squad_ID,Branch,Blood_Group,Current_Rank,Current_Operation_Assigned,Current_Operation_Role_Assigned,Personnel_Status,Response_Days
Arjun,Martin,GOV-LE915KMM,1978-11-13,CT-834728,Leeds,AS-4EHHPW,3032,Logistics,AB-,Private,OP054,Analyst,reserve,15
Arjun,Thompson,GOV-30C9L9Y5,2006-03-17,CT-119817,Jaipur,AS-04K82S,3010,Army,AB-,Colonel,OP286,Sniper,active,7
Sai,Sharma,GOV-RPXH4PO2,2008-09-26,CT-321408,Espoo,AS-2YH26O,3047,Army,B-,Corporal,OP117,Recon,active,7
James,Rao,GOV-K3O9I6EA,1971-09-20,CT-941003,George Town,AS-6956RY,3195,Air Force,B-,Lieutenant,OP119,Medic,active,1
Noah,Thomas,GOV-T5HIG8ZX,1976-11-15,CT-620495,Fukuoka,AS-YYZES6,3005,Navy,A-,Lieutenant,OP190,Sniper,active,2
Zara,Kaul,GOV-CILWXN3N,1982-11-02,CT-568759,Toulouse,AS-IPL3B6,3177,Logistics,A-,Brigadier,OP048,EOD,active,5
Amelia,Menon,GOV-D6S5F44X,1982-03-26,CT-101972,Brisbane,AS-OB3FAI,3070,Logistics,A-,Corporal,OP172,Communications,active,3
Ira,Kapoor,GOV-OZGNME0Z,1991-04-01,CT-445238,Bergen,AS-M37SR1,3160,Navy,B-,Sergeant,OP011,Medic,active,4
Benjamin,Das,GOV-JFMOAT1W,1977-03-05,CT-922568,Stockholm,AS-SCH2WS,3053,Army,B+,Lieutenant,OP265,Analyst,active,4
Benjamin,Martin,GOV-VUP14QIM,1973-03-21,CT-167552,Guangzhou,AS-B9K7GP,3003,Air Force,B+,Major,OP101,Rifleman,active,2
Elijah,Banerjee,GOV-6KQ1LJN0,1977-08-01,CT-516361,Liverpool,AS-3FZUUM,3112,Cyber,B+,Private,OP101,Rifleman,active,2
Isabella,Patel,GOV-X4EE1XIU,2000-12-08,CT-319705,Medan,AS-VQPPBZ,3293,Special Forces,O-,Brigadier,OP128,Operator,recovering,33
Abigail,Martin,GOV-STR5CWOR,1965-01-28,CT-732029,Saint Petersburg,AS-54UA3H,3137,Special Forces,B+,Brigadier,OP012,Engineer,retired,0
Ananya,Reddy,GOV-BWUFD767,1997-06-27,CT-564878,Shenzhen,AS-9ZR88O,3139,Navy,B-,Corporal,OP298,Recon,recovering,72
Vivaan,Smith,GOV-8DA1PXVN,1982-09-06,CT-134779,Da Nang,AS-GP9Q98,3153,Logistics,AB-,Brigadier,OP092,Recon,active,7
Isabella,Rodriguez,GOV-9Z1W34X2,2002-12-06,CT-812424,Moscow,AS-4GNBGI,3238,Navy,A+,Corporal,OP141,Drone Operator,reserve,9
Isabella,Sharma,GOV-0XBCAMY0,1981-01-03,CT-784867,Oslo,AS-Z90DUY,3226,Signals,AB-,Captain,OP269,Pilot,retired,0
Aarav,Patel,GOV-8EKDQUZV,1969-11-28,CT-444810,Madrid,AS-WRTGAQ,3208,Medical,A-,Colonel,OP287,EOD,reserve,7
Ishaan,Sharma,GOV-OYUCZCP5,2001-10-09,CT-344366,Mombasa,AS-SI5858,3170,Medical,O+,Lieutenant,OP264,Drone Operator,recovering,84
Riya,Kulkarni,GOV-EGUGX5FY,1967-01-20,CT-688678,Ottawa,AS-FJDIGF,3065,Air Force,O+,Colonel,OP107,Medic,active,1
Krishna,Kapoor,GOV-8Q2B1LLT,1974-01-29,CT-045716,Berlin,AS-QRZUIK,3171,Army,B+,Brigadier,OP003,Pilot,active,6
Benjamin,Das,GOV-KU8J3C5G,2005-09-14,CT-333863,Beijing,AS-LODI5I,3267,Air Force,B-,Major,OP231,Analyst,active,4
Elijah,Miller,GOV-6DM9EVKI,1965-12-20,CT-119538,Sapporo,AS-JC4CFD,3243,Cyber,O-,Captain,OP008,Recon,active,1
